transaction_id,user_id,amount,transaction_type,transaction_status,transaction_status,meta_data,created_at,updated_at
84a353d6-a69a-4806-9b55-37cbf7aef423,,135.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '730f9fdb-c568-4e61-91ee-10628b3ac293'},2024-04-22 05:04:20.490999,
118a6f11-607e-4d9d-881e-8b3a0283bac9,,180.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'a0db5773-0c01-42d4-8448-60f78be9ec14'},2024-04-22 05:02:19.029198,
c11e20bc-d361-441d-ab9f-0864f7b5479d,,180.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': 'a0db5773-0c01-42d4-8448-60f78be9ec14'},2024-04-22 05:02:05.279151,
14857a66-dc72-45ed-bf86-1d55faa0a7b0,,54.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '7fddd7f3-f8b0-453a-9455-b999bfed1166'},2024-04-22 05:02:01.876863,
d05415d9-28c6-4664-a050-dd8bdee10ce7,,126.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '7fddd7f3-f8b0-453a-9455-b999bfed1166'},2024-04-22 05:01:55.428540,
afe36e83-f519-4d8a-8815-d0f628ef9126,,54.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '7fddd7f3-f8b0-453a-9455-b999bfed1166'},2024-04-22 05:01:52.177781,
bd340ce0-6faa-4a40-a960-c2c0797125d2,,126.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '7fddd7f3-f8b0-453a-9455-b999bfed1166'},2024-04-22 05:01:46.353924,
d6ea71a0-9b84-4cfa-962e-cd47348f687f,,135.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '25991dfa-4107-4b2c-8b74-61d019c8bc8a'},2024-04-22 05:01:40.636135,
f31de10d-76aa-4699-b0fc-c53f8d0eb241,,135.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '25991dfa-4107-4b2c-8b74-61d019c8bc8a'},2024-04-22 05:01:34.319199,
d549ad97-fac4-46ce-a0d8-fc5fe4de3c01,,270.0,TransactionTypeEnum.WON_MONEY,TransactionStatusEnum.COMPLETED,TransactionStatusEnum.COMPLETED,{'user_draft_id': '2b56dc65-4106-45c6-a059-59a3aef4f880'},2024-04-22 05:01:23.186947,
